Client,CustomerAccountNumber,AdjustmentTypeCode,EffectiveOn,SundryTypeCode,Amount,Reference,GLAccountCode,GLDescription,Reserved1,Reserved2
WFE France,15000005,TBSUB,8/1/2020,6302,1.8,VIN00001,G15,Badge Telepeage - Remboursement Abonnement Juin1000004507,,
WFE France,15000005,TBSUB,8/1/2020,6302,1.8,VIN00002,G15,Badge Telepeage - Remboursement Abonnement Juin1000004507,,
WFE France,15000005,TBSUB,8/1/2020,6302,1.8,VIN00003,G15,Badge Telepeage - Remboursement Abonnement Juin1000004507,,
WFE France,15000005,TBSUB,8/1/2020,6302,1.8,VIN00004,G15,Badge Telepeage - Remboursement Abonnement Juin1000004507,,
WFE France,15000005,TBSUB,8/1/2020,6302,1.8,VIN00005,G15,Badge Telepeage - Remboursement Abonnement Juin1000004507,,
WFE France,15000005,TBSUB,8/1/2020,6302,1.8,VIN00006,G15,Badge Telepeage - Remboursement Abonnement Juin1000004507,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00007,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00008,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00009,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00010,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00011,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00012,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00013,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00014,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00015,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
